,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
452,Norman Negus,1,0,1,1.0
453,Potez-Air Fouga,1,0,1,1.0
454,Indonesian Aerospace,1,0,1,1.0
455,Gulfstream Aerospace Corp.,1,0,1,1.0
456,British Aircraft Corp,1,0,1,1.0
457,Aerostar S A,1,0,1,1.0
458,Hrosik Gene,1,0,1,1.0
459,J.A.Mullan,1,0,1,1.0
460,Chang,1,0,1,1.0
461,Jurmu,1,0,1,1.0
462,Volksplane,1,0,1,1.0
463,Aero At Sp Zoo,1,0,1,1.0
464,Ttx Air Llc,1,0,1,1.0
465,Halbrook,1,0,1,1.0
466,Molino Oy,1,0,1,1.0
467,Q-Berry,1,0,1,1.0
468,Liberty Aerospace Incorporate,1,0,1,1.0
469,Na,1,0,1,1.0
470,Midget,1,0,1,1.0
471,Spackman,1,0,1,1.0
472,Fairchild Heli-Porter,1,0,1,1.0
473,Central Ohio Dragonfly Club,1,0,1,1.0
474,Sorensen,1,0,1,1.0
475,"Jabiru Usa Sport Aircraft, Llc",1,0,1,1.0
476,Lsa America Inc,1,0,1,1.0
477,Merritt Leslie R,1,0,1,1.0
478,Auman Jl,1,0,1,1.0
479,Adkins,1,0,1,1.0
480,Foster William D,1,0,1,1.0
481,Mccurdy,1,0,1,1.0
482,Bushmaster,1,0,1,1.0
483,Nakajima,1,0,1,1.0
484,Viking Air Limited,1,0,1,1.0
485,Cobalt Aircraft Industries Inc,1,0,1,1.0
486,Schumacher,1,0,1,1.0
487,Comp Air Inc. (Plambeck),1,0,1,1.0
488,Refling,1,0,1,1.0
489,Smith Aerostar,1,0,1,1.0
490,Gates Learjet Corporation,1,0,1,1.0
491,Brown Mark,1,0,1,1.0
492,Cornell W F/Sahakian J A Jr,1,0,1,1.0
493,Wright Daniel J,1,0,1,1.0
494,Board James A,1,0,1,1.0
495,Eagle Aircraft Co,1,0,1,1.0
496,3Xtrim,1,0,1,1.0
497,York,1,0,1,1.0
498,Seguin,1,0,1,1.0
499,Greg Connell,1,0,1,1.0
500,Jihlavan Airplanes Sro,1,0,1,1.0
501,Wag-Aero,1,0,1,1.0
502,Merian Richard F,1,0,1,1.0
503,Bobbi Boucher,1,0,1,1.0
504,Eipper,1,0,1,1.0
505,Goudie,1,0,1,1.0
506,Quest Aircraft Company,1,0,1,1.0
507,Maule Aircraft Corp,1,0,1,1.0
508,Crow,1,0,1,1.0
509,Airplane Factory (Pty) Ltd The,1,0,1,1.0
510,Spezio,1,0,1,1.0
511,Stampe Renard,1,0,1,1.0
512,Fairchild(Howard),1,0,1,1.0
513,Unknown,1,0,1,1.0
514,Amature Built,1,0,1,1.0
515,Roberts,1,0,1,1.0
516,Raytheon Corporate Jets Inc,1,0,1,1.0
517,Storm Fury,1,0,1,1.0
518,Raven Aircraft Corppration,1,0,1,1.0
519,Jewett,1,0,1,1.0
520,Northrop,1,0,1,1.0
521,Grob,1,0,1,1.0
522,Freeman Heritage Collection,1,0,1,1.0
523,Honda,1,0,1,1.0
524,Thrush Aircraft Llc,1,0,1,1.0
525,Acroduster,1,0,1,1.0
526,Supermarine,1,0,1,1.0
527,Comco Ikarus,1,0,1,1.0
528,Liteflite Pty Ltd,1,0,1,1.0
529,Kuykendall Charles,1,0,1,1.0
530,Joplin,1,0,1,1.0
531,Forisch Edward,1,0,1,1.0
532,Israel Aerospace Industriesltd,1,0,1,1.0
533,Ilyushin,1,0,1,1.0
534,Jabiru Aircraft Pty Ltd,1,0,1,1.0
535,Mobi-Light,1,0,1,1.0
536,Spitfire,1,0,1,1.0
537,Consolidated Vultee,1,0,1,1.0
538,Legacy,1,0,1,1.0
539,Trudel,1,0,1,1.0
540,Beech Aircraft Co.,1,0,1,1.0
541,Boyd Bruce,1,0,1,1.0
542,G-Dawg Llc,1,0,1,1.0
543,Bedecorp Llc,1,0,1,1.0
544,Titan Aerospace Holdings Inc,1,0,1,1.0
545,Kevin D. Yarnevich,1,0,1,1.0
546,M7 Aerospace Llc,1,0,1,1.0
547,Belcher,1,0,1,1.0
548,Brm Aero Sro,1,0,1,1.0
549,Hermann Bjorn,1,0,1,1.0
550,Gulfstream Schweizer A/C Corp,1,0,1,1.0
551,British Aircraft Corp.,1,0,1,1.0
552,Softex Invest Llc,1,0,1,1.0
553,Liberty,1,0,1,1.0
554,Aerostar Acft Corp Of Texas,1,0,1,1.0
555,Grob Aircraft Ag,1,0,1,1.0
556,Rutan,1,0,1,1.0
557,Ronald J Bender,1,0,1,1.0
558,Amstutz Curtis J,1,0,1,1.0
559,Silence,1,0,1,1.0
560,Kenneth B Hines,1,0,1,1.0
561,Aero-Ace,1,0,1,1.0
562,Wsk-Pzl Warzawa-Okecie,1,0,1,1.0
563,Nihon,1,0,1,1.0
564,Wilson,1,0,1,1.0
565,Hillard Charlie R,1,0,1,1.0
566,Fairchild Hiller,1,0,1,1.0
567,Ag-Cat Corporation,1,0,1,1.0
568,Evolution 19,1,0,1,1.0
569,Craig D Carter,1,0,1,1.0
570,Randall Marvin L,1,0,1,1.0
571,Sonex Limited,1,0,1,1.0
572,Progressive Aerodyne Inc,1,0,1,1.0
573,Yakovlev/Chinnery,1,0,1,1.0
574,Avions Mudry Et Cie,1,0,1,1.0
575,Xtremeair Gmbh,1,0,1,1.0
576,Columbia Aircraft Mfg,1,0,1,1.0
577,Bristell,1,0,1,1.0
578,Rainbow Sky Reach,1,0,1,1.0
579,Lawrence O Nolte,1,0,1,1.0
580,Rose Herbert D,1,0,1,1.0
581,Little Eagle,1,0,1,1.0
582,Stamper,1,0,1,1.0
583,Airtime Aircraft Inc,1,0,1,1.0
584,Erick Magno & Assoc Pa,1,0,1,1.0
585,Schmidt Albert D,1,0,1,1.0
586,Rans Aircraft,1,0,1,1.0
587,Nasdalla,1,0,1,1.0
588,Evans Aircraft,1,0,1,1.0
589,Klaas Development Inc,1,0,1,1.0
590,Backovich George C,1,0,1,1.0
591,Nolin,1,0,1,1.0
592,Lorentzen,1,0,1,1.0
593,Diamond Aircraft Industries In,1,0,1,1.0
594,Tifft,1,0,1,1.0
595,Foxair Llc,1,0,1,1.0
596,Slingsby,1,0,1,1.0
597,Avres Corp.,1,0,1,1.0
598,Pioneer,1,0,1,1.0
599,Pac,1,0,1,1.0
600,Zenith Acft Co,1,0,1,1.0
601,Aerofab Inc,1,0,1,1.0
602,Arnold,1,0,1,1.0
603,Schupp Edward W,1,0,1,1.0
604,Hawker Beech,1,0,1,1.0
605,Hickham,1,0,1,1.0
606,Airborne Windsports Ltd,1,0,1,1.0
607,Socata-Groupe Aerospatiale,1,0,1,1.0
608,Wells John L Jr,1,0,1,1.0
609,Ogg Richard A,1,0,1,1.0
610,Aerotek,1,0,1,1.0
611,Hoover David,1,0,1,1.0
612,Tatelman-Pitts,1,0,1,1.0
613,Airparts Nz Ltd,1,0,1,1.0
614,Turbo Thrush,1,0,1,1.0
615,Sons Mustang,1,0,1,1.0
616,Ang,1,0,1,1.0
617,Pearson,1,0,1,1.0
618,Remos Aircraft Gmbh Flugzeugba,1,0,1,1.0
619,Ryan Aeronautical,1,0,1,1.0
620,Icon,1,0,1,1.0
621,Capella,1,0,1,1.0
622,Cozy,1,0,1,1.0
623,Foxworthy Rick A,1,0,1,1.0
624,"Rhoads, Larry E",1,0,1,1.0
625,Osprey 2,1,0,1,1.0
626,Titan,1,0,1,1.0
627,Mudry,1,0,1,1.0
628,Dayton-Wright,1,0,1,1.0
629,Czech Sport Aircraft,1,0,1,1.0
630,Hogan,1,0,1,1.0
631,Comp Air,1,0,1,1.0
632,Buckman,1,0,1,1.0
633,Raf,1,0,1,1.0
634,Lavia Argentina,1,0,1,1.0
635,Airvan,1,0,1,1.0
636,Angel Aircraft Corporation,1,0,1,1.0
637,Kitty Hawk,1,0,1,1.0
638,Arion Aircraft Llc,1,0,1,1.0
639,Lankenau,1,0,1,1.0
640,James A Gray,1,0,1,1.0
641,Stol Aircraft Corp,1,0,1,1.0
642,Curtis,1,0,1,1.0
643,Flugzeugproduktions-Und Vertri,1,0,1,1.0
644,Rutten Phil J,1,0,1,1.0
645,Doshier Wilbert A,1,0,1,1.0
646,Motley Gary W,1,0,1,1.0
647,Michael Adamczyk,1,0,1,1.0
648,S.O.C.A.T.A.,1,0,1,1.0
649,Zodiac,1,0,1,1.0
650,Brumbaugh David R,1,0,1,1.0
651,Donald Bernard Higgs,1,0,1,1.0
652,Baker Victor R,1,0,1,1.0
653,Sorenson,1,0,1,1.0
654,Rogers Kenneth J,1,0,1,1.0
655,Pzl-Mielec,1,0,1,1.0
656,Brinker / Garner,1,0,1,1.0
657,Whitehead,1,0,1,1.0
658,Sabreliner Corp.,1,0,1,1.0
659,Bender,1,0,1,1.0
660,Waco Classic Aircraft,1,0,1,1.0
661,Schendl,1,0,1,1.0
662,Hubbell,1,0,1,1.0
663,Weston,1,0,1,1.0
664,Fairchild Industries,1,0,1,1.0
665,Mayo,1,0,1,1.0
666,Smith Albert F,1,0,1,1.0
